gauge_id,gauge_name,country,gauge_lat,gauge_lon,area
camelsch_3004,Brederis,A,47.28,9.59,25.10268106225488
camelsch_3005,Amerluegen,A,47.21,9.61,68.52989144953304
camelsch_3006,Lustenau_(Hoechster_Bruecke),A,47.45,9.66,6282.497537455416
camelsch_3007,Lauterach,A,47.46,9.68,195.2720316318934
camelsch_3008,Hohenems,A,47.37,9.68,8.177094160659573
camelsch_3009,Beschling,A,47.2,9.68,1131.292962257851
camelsch_3010,Lustenau_(Hofsteig),A,47.43,9.7,77.32247902295421
camelsch_3011,Hoher_Steg,A,47.45,9.7,112.75076430548864
camelsch_3012,Unterhochsteg_(Summenpegel),A,47.54,9.74,105.06993256886142
camelsch_3013,Laterns,A,47.26,9.73,32.96730875175546
camelsch_3014,Lochau,A,47.53,9.74,7.190399071577613
camelsch_3015,Schwarzach,A,47.45,9.76,17.556234394980194
camelsch_3016,Enz,A,47.4,9.76,53.14699587744114
camelsch_3017,Kennelbach,A,47.48,9.78,821.0906335453993
camelsch_3018,Buers_(Bruecke_L82),A,47.15,9.8,72.36208608988301
camelsch_3019,Loruens-Aeule,A,47.13,9.85,534.5366073204989
camelsch_3020,Thal_(Martinsbrücke),A,47.53,9.87,82.9324994435639
camelsch_3021,Mellau,A,47.35,9.88,226.83608522186287
camelsch_3022,Garsella,A,47.23,9.88,95.16004448777952
camelsch_3023,Reuthe,A,47.37,9.89,14.256588093470247
camelsch_3024,Krumbach-Zwing,A,47.5,9.92,199.72757893247845
camelsch_3025,Schruns_(Vonbunweg),A,47.08,9.91,101.58624669674184
camelsch_3026,Hittisau_(VKW),A,47.46,9.96,80.66858378907536
camelsch_3027,Au,A,47.33,9.97,146.80974587678423
camelsch_3028,Kaelberweide,A,47.47,10.02,14.69841992734479
camelsch_3029,Schoenenbach_(Hengstig),A,47.39,10.04,30.39457172932773
camelsch_3030,Hopfreben,A,47.29,10.05,40.61467396441669
camelsch_3031,Kloesterle_(OEBB),A,47.13,10.06,65.53531066555436
camelsch_3032,Schalklhof,A,46.94,10.49,107.72362441530306
camelsch_3033,Kajetansbruecke,A,46.95,10.51,2146.246907300884
camelsch_4001,Tegernau,DE,47.72,7.79,69.75704021470985
camelsch_4002,Zell,DE,47.7,7.85,206.10259543006916
camelsch_4003,Hoelzlebruck,DE,47.93,8.19,47.111725861806896
camelsch_4004,Oberlauchringen,DE,47.62,8.33,628.0215341792137
camelsch_4005,Illmuehle,DE,47.75,8.34,50.21120753608465
camelsch_4006,Ewattingen,DE,47.85,8.45,341.02104513234514
camelsch_4007,Hausen,DE,47.78,8.82,143.47798360485686
camelsch_4008,Rielasingen,DE,47.74,8.84,206.4957612665985
camelsch_4009,Wahlwies,DE,47.82,8.97,213.5630146047752
camelsch_4010,Konstanz,DE,47.67,9.17,10883.567752107256
camelsch_4011,Uhldingen,DE,47.73,9.24,270.50443257176806
camelsch_4012,Neufrach,DE,47.75,9.31,74.47234466660586
camelsch_4013,Fuchstobel,DE,47.76,9.46,67.01690634809226
camelsch_4014,Friedrichshafen,DE,47.66,9.5,129.91830404616277
camelsch_4015,Gerbertshaus,DE,47.67,9.53,784.8389904138246
camelsch_4016,Giessen,DE,47.63,9.6,645.9183476115954
camelsch_4017,Rainpadent,DE,47.83,9.64,163.54567915179229
camelsch_4018,Durlesbach,DE,47.9,9.68,273.00459717526803
