date,tmin,tmax,prcp,srad,vp,pet,dayl,QObs,area,latitude,elevation
1980-04-11,-8.150471,9.334879,0.13923559,593.8275,277.20428,2.534919820905132,46644.42771740297,0.38536896249011104,1219077979.0992,35.9045882806,2598.4744374761
1980-04-12,-6.9805436,-0.22263463,3.4196103,218.20189,366.25195,1.2231329029351257,46776.02024539402,0.3713190523993258,1219077979.0992,35.9045882806,2598.4744374761
1980-04-13,-12.787284,2.1201923,1.2341347,510.08377,219.71303,1.6034861817450452,46907.096830829614,0.3452263622307245,1219077979.0992,35.9045882806,2598.4744374761
1980-04-14,-9.865044,10.092081,0.0,653.3416,228.19537,2.679790246527189,47037.63121031605,0.3371978421788472,1219077979.0992,35.9045882806,2598.4744374761
1980-04-15,-4.4657593,13.20586,0.0,611.2447,329.57123,3.136785194260511,47167.596428164674,0.4114616526587123,1219077979.0992,35.9045882806,2598.4744374761
1980-04-16,-3.0345194,13.569837,0.0,593.51276,371.2921,3.1795230035950817,47296.96481373804,0.5740391837092279,1219077979.0992,35.9045882806,2598.4744374761
1980-04-17,-6.311947,14.772751,0.0,663.1817,269.48846,3.438584594723673,47425.70796007056,0.7747521850061608,1219077979.0992,35.9045882806,2598.4744374761
1980-04-18,-4.4527693,17.553438,0.0,667.0182,283.4911,3.9015396049514153,47553.79670385465,0.9574010161863696,1219077979.0992,35.9045882806,2598.4744374761
1980-04-19,-1.9521345,18.81187,0.0,650.2104,317.04846,4.101607169711571,47681.201106887806,1.142056977379548,1219077979.0992,35.9045882806,2598.4744374761
1980-04-20,-0.04543269,19.24525,0.0,628.0584,358.18857,4.148856411616866,47807.89043908074,1.2805489482744314,1219077979.0992,35.9045882806,2598.4744374761
1980-04-21,-0.6245673,16.95337,0.94035095,562.7465,392.20325,3.7699031930325626,47933.83316313124,1.6117254004143708,1219077979.0992,35.9045882806,2598.4744374761
1980-04-22,0.43896633,14.1117735,0.23953368,499.0257,467.66455,3.2252704893597106,48058.99692097202,2.047272613228715,1219077979.0992,35.9045882806,2598.4744374761
1980-04-23,-1.6920096,13.042202,0.0014855769,537.231,390.64774,3.1480575516017293,48183.34852210526,1.9810373228007272,1219077979.0992,35.9045882806,2598.4744374761
1980-04-24,-4.4726977,5.6532836,11.623866,297.514,427.63788,2.053150993153586,48306.85393393987,1.796381361607549,1219077979.0992,35.9045882806,2598.4744374761
1980-04-25,-6.0493026,4.9688654,0.060865387,435.17603,365.48593,2.018393398579692,48429.478274250745,0.9212726759529217,1219077979.0992,35.9045882806,2598.4744374761
1980-04-26,-5.2166204,7.5848317,1.1077212,447.54474,370.0661,2.402693151481397,48551.18580588204,0.8670801656027499,1219077979.0992,35.9045882806,2598.4744374761
1980-04-27,-3.5977259,9.790659,0.71786064,497.36462,393.68704,2.715431723356048,48671.93993381871,0.8971871157972898,1219077979.0992,35.9045882806,2598.4744374761
1980-04-28,-2.501019,16.26898,0.08586057,614.3607,351.00836,3.812709696876959,48791.70320475244,0.9553938861734004,1219077979.0992,35.9045882806,2598.4744374761
1980-04-29,-0.041956797,14.227318,0.0,527.653,453.43823,3.3651529859593223,48910.43730926871,1.0677931668996827,1219077979.0992,35.9045882806,2598.4744374761
1980-04-30,-1.2770144,10.286605,0.0,450.4897,439.555,2.7244864495758234,49028.10308678259,1.0979001170942226,1219077979.0992,35.9045882806,2598.4744374761
1980-05-01,-2.2618413,8.595304,3.7068894,333.48245,480.45868,2.4905613480681525,49144.66053334979,1.0617717768607748,1219077979.0992,35.9045882806,2598.4744374761
1980-05-02,-3.8864956,9.873808,0.0,523.47626,341.84293,2.7905177295777235,49260.06881247863,0.947365366121523,1219077979.0992,35.9045882806,2598.4744374761
1980-05-03,-1.4827404,12.5060005,0.0,530.8047,391.3991,3.165159254950887,49374.28626906593,0.941343976082615,1219077979.0992,35.9045882806,2598.4744374761
1980-05-04,-2.7668412,12.0205,6.6189184,415.5118,415.86325,3.1412523829982595,49487.27044657665,1.0156077865624802,1219077979.0992,35.9045882806,2598.4744374761
1980-05-05,-1.6443366,13.498649,2.4071536,462.02667,434.17874,3.374120662260609,49598.97810758247,1.04571473675702,1219077979.0992,35.9045882806,2598.4744374761
1980-05-06,-1.7284279,12.8355055,3.0133944,434.789,447.89566,3.267259962423762,49709.36525776927,0.9855008363679403,1219077979.0992,35.9045882806,2598.4744374761
1980-05-07,0.39757204,15.240563,2.3962643,445.63797,517.1261,3.629624618352738,49818.38717351607,1.0477218667699895,1219077979.0992,35.9045882806,2598.4744374761
1980-05-08,0.32500485,12.140644,1.2474375,428.16165,523.8186,3.047059266300281,49925.99843314037,1.326712938572726,1219077979.0992,35.9045882806,2598.4744374761
1980-05-09,-1.8011442,13.825515,0.0,571.89124,381.3543,3.4821994113832937,50032.1529518948,1.192235227703781,1219077979.0992,35.9045882806,2598.4744374761
1980-05-10,3.08125,16.221827,0.0,507.1593,563.8096,3.691760007496601,50136.804020789656,1.0798359469774987,1219077979.0992,35.9045882806,2598.4744374761
1980-05-11,-0.6849135,13.756866,0.0,547.679,428.74542,3.440500672285268,50239.90434930303,1.0838502070034373,1219077979.0992,35.9045882806,2598.4744374761
1980-05-12,-5.15148,11.390677,0.0,589.5849,301.25912,3.1738016494972463,50341.4061120267,1.0035650064846642,1219077979.0992,35.9045882806,2598.4744374761
1980-05-13,-4.147697,13.583467,0.0,608.0113,304.01123,3.546169856211804,50441.26099928063,0.8851443357194738,1219077979.0992,35.9045882806,2598.4744374761
1980-05-14,-1.065721,12.619592,3.0011923,470.6161,456.4683,3.270217220292381,50539.42027171229,0.8630659055768112,1219077979.0992,35.9045882806,2598.4744374761
1980-05-15,-0.81956255,7.2269998,14.874837,254.1613,567.04,2.239378536063541,50635.83481887849,0.9935293564198175,1219077979.0992,35.9045882806,2598.4744374761
1980-05-16,-0.10935577,8.388707,3.354024,271.4288,584.63666,2.409609308645289,50730.455221788136,1.0557503868218667,1219077979.0992,35.9045882806,2598.4744374761
1980-05-17,1.3846586,12.072682,0.0,449.54596,550.02936,3.028138776518874,50823.23181936323,1.0557503868218667,1219077979.0992,35.9045882806,2598.4744374761
1980-05-18,-2.4070241,14.7850485,0.0,617.09314,338.8254,3.764373597448423,50914.11477875305,0.9092298958751058,1219077979.0992,35.9045882806,2598.4744374761
1980-05-19,-1.5745722,15.757621,0.0,620.1462,337.1781,3.930289029427782,51003.05416941316,0.8871514657324432,1219077979.0992,35.9045882806,2598.4744374761
1980-05-20,0.06712025,20.23516,0.0,653.81256,333.2807,4.770619480739962,51090.00004083636,0.9313083260177684,1219077979.0992,35.9045882806,2598.4744374761
1980-05-21,2.4045334,20.882914,0.0,631.7912,368.49902,4.819837823333978,51174.90250379702,0.9814865763420016,1219077979.0992,35.9045882806,2598.4744374761
1980-05-22,2.0839713,21.938953,0.0,644.5217,346.14493,5.068247200764338,51257.71181494426,1.0417004767310816,1219077979.0992,35.9045882806,2598.4744374761
1980-05-23,-0.21828358,18.152542,0.0,627.4744,302.46222,4.385363408916512,51338.378464552574,1.0738145569385906,1219077979.0992,35.9045882806,2598.4744374761
1980-05-24,0.8424711,17.19698,0.0,588.4393,348.54855,4.15317661893341,51416.85326721111,1.0256434366273268,1219077979.0992,35.9045882806,2598.4744374761
1980-05-25,-5.93224,16.960938,0.0,669.7481,189.76456,4.278777618013231,51493.08745520575,0.9373297160566764,1219077979.0992,35.9045882806,2598.4744374761
